AttractionName,Latitude,Longitude
UCLA Fowler Museum of Cultural History,34.0728,-118.443
Splash Kingdom Waterpark,34.0693,-117.227
A+D Museum,34.0627,-118.36
Italian American Museum of Los Angeles,34.0567,-118.238
LA Plaza de Cultura y Artes,34.0562,-118.24
Will Rogers State Historic Park,34.05611111,-118.5122222
Chinese American Museum,34.0556,-118.2391
Museum of Tolerance,34.05363611,-118.4016806
ARCO Center for Visual Art,34.0514,-118.257
Japanese American National Museum,34.0496,-118.239
San Bernardino de Sena Estancia,34.0444,-117.221
Vincent Price Art Museum,34.0388,-118.147
Bob Hope Patriotic Hall,34.0352,-118.271
Museum of Jurassic Technology,34.0256,-118.3954
California African American Museum,34.0158,-118.283
Santa Monica Pier Aquarium,34.01,-118.4958333
Riverside International Automotive Museum,33.9974,-117.328
Museum of Riverside,33.982,-117.373
Riverside Art Museum,33.981722,-117.370472
Planes of Fame Air Museum,33.98138889,-117.6397222
Yanks Air Museum,33.9793,-117.647
Whittier Museum,33.96583333,-118.0341667
Oldest McDonald's restaurant,33.9471,-118.118
Watts Towers,33.9389,-118.2414
Watts Towers,33.938889,-118.241527
William Howard Taft National Historic Site,33.916007,-118.199088
Movieland Wax Museum,33.8512,-117.999
Timberline Twister,33.8458,-117.998
Montezooma's Revenge,33.8456,-117.999
Sierra Sidewinder,33.845,-117.999
Silver Bullet,33.8444,-118
Pony Express,33.8429,-118.001
Palm Springs Air Museum,33.8325,-116.505
Agua Caliente Cultural Museum,33.821,-116.547
It's a Small World,33.8146,-117.918
Big Thunder Ranch,33.8143,-117.92
Mr. Toad's Wild Ride,33.8133,-117.9187
Alice in Wonderland,33.8132,-117.919
Submarine Voyage,33.8129,-117.917
Disneyland Monorail System,33.8128,-117.917
Monsanto House of the Future,33.8125,-117.918
Flying Saucers,33.8114,-117.917
Space Mountain,33.811,-117.917
The Disney Gallery,33.8101,-117.919
Disneyland Railroad,33.8099,-117.919
"Monsters, Inc. Mike & Sulley to the Rescue!",33.8084,-117.917
Disney California Adventure,33.807778,-117.919167
Grizzly River Run,33.8072,-117.921
Goofy's Sky School,33.8063,-117.923
Golden Zephyr,33.806,-117.922
Silly Symphony Swings,33.8056,-117.923
Maliboomer,33.8052,-117.923
Radiator Springs Racers,33.8047,-117.919
Jessie's Critter Carousel,33.8045,-117.921
Lomita Railroad Museum,33.7983,-118.319
Orange County Zoo,33.7964,-117.751
Drum Barracks,33.784722,-118.256667
Museum of Latin American Art,33.774397,-118.179873
Discovery Science Center,33.76993,-117.867666
Bowers Museum,33.763,-117.868
Old Orange County Courthouse,33.750278,-117.869167
Santa Ana Zoo,33.742657,-117.843196
Vincent Thomas Bridge,33.741,-118.216
Los Angeles Maritime Museum,33.7387,-118.279
Cabrillo Marine Aquarium,33.71111111,-118.2852778
Western Science Center,33.7053,-116.993
General George S. Patton Memorial Museum,33.66166667,-115.7222222
Wild Rivers,33.6432,-117.748
Antique Gas and Steam Engine Museum,33.2283,-117.254
WWII/Korea LVT Museum,33.2181,-117.398
California Surf Museum,33.1965,-117.38
Craftsmanship Museum,33.1326,-117.238
Santa Ysabel Asistencia,33.1303,-116.678
Museum of Making Music,33.1272,-117.317
San Diego Wild Animal Park,33.099703,-117.001525
Classic Rotors Museum,33.0392,-116.915
Flying Leatherneck Aviation Museum,32.8911,-117.139
USS Recruit (TDE-1),32.881111,-118.235833
Museum of Creation and Earth History,32.8453,-116.96
Manta (SeaWorld San Diego),32.7671,-117.228
Whaley House,32.7528,-117.194
MCRD San Diego Command Museum,32.7417,-117.198
Water Conservation Garden,32.7383,-117.007
San Diego Museum of Man,32.7314,-117.152
San Diego Art Institute,32.731106,-117.151014
San Diego Model Railroad Museum,32.7311,-117.148
Mingei International Museum,32.7311,-117.151
House of Charm,32.7311,-117.151
Museum of Photographic Arts,32.731,-117.149
San Diego Air & Space Museum,32.730956,-117.152661
San Diego Automotive Museum,32.7275,-117.154
San Diego Hall of Champions,32.7273,-117.152
San Diego Air & Space Museum,32.7263,-117.154
USS Midway Museum,32.7137,-117.1731
William Heath Davis House,32.7093,-117.161
Waterfront Park,32.709,-117.172
USS Utah (BB-31),32.703,-111.835
Desert View Tower,32.659167,-116.099167
Pacific Southwest Railway Museum,32.6128,-116.472
Pacific Southwest Railway Museum Association,32.612769,-116.472417
